epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,131.214,0.78902,0.38428,0.85926,0.99852,1,0.995,0.80777,0.98391,0.45992,0.87044,0.000627292,0.000627292,0.000627292
128,132.129,0.7934,0.38654,0.85504,0.99169,1,0.995,0.80177,0.98609,0.46995,0.87367,0.00061904,0.00061904,0.00061904
129,132.949,0.76727,0.38671,0.84789,0.99098,1,0.995,0.80704,1.00084,0.46021,0.87069,0.000610789,0.000610789,0.000610789
130,133.785,0.79315,0.37659,0.8633,0.98995,1,0.995,0.79498,1.03325,0.45115,0.87559,0.000602537,0.000602537,0.000602537
131,134.609,0.76007,0.37848,0.85036,0.9914,1,0.995,0.79702,1.02594,0.45347,0.87671,0.000594286,0.000594286,0.000594286
132,135.488,0.75733,0.36664,0.84238,0.99337,1,0.995,0.80126,1.00616,0.44231,0.87327,0.000586034,0.000586034,0.000586034
133,136.306,0.80602,0.3853,0.86963,0.99303,1,0.995,0.80684,0.99492,0.43521,0.86911,0.000577782,0.000577782,0.000577782
134,137.147,0.79124,0.38276,0.85299,0.99222,1,0.995,0.80199,0.98492,0.43563,0.86738,0.000569531,0.000569531,0.000569531
135,137.957,0.77239,0.37097,0.85964,0.99156,1,0.995,0.79335,0.99198,0.4414,0.87023,0.000561279,0.000561279,0.000561279
136,138.916,0.77577,0.39094,0.85449,0.98984,1,0.995,0.79771,0.9989,0.44913,0.87035,0.000553027,0.000553027,0.000553027
137,139.733,0.73441,0.37137,0.85366,0.99078,1,0.995,0.80188,0.99859,0.44569,0.86902,0.000544776,0.000544776,0.000544776
138,140.591,0.72213,0.36207,0.83298,0.99266,1,0.995,0.8022,1.01222,0.43001,0.87122,0.000536524,0.000536524,0.000536524
139,141.404,0.75981,0.3618,0.85185,0.99302,1,0.995,0.80803,1.00948,0.42374,0.87129,0.000528272,0.000528272,0.000528272
140,142.229,0.77483,0.36681,0.85538,0.98993,1,0.995,0.79091,1.01956,0.43182,0.87826,0.000520021,0.000520021,0.000520021
141,143.043,0.77876,0.37282,0.86456,0.98882,1,0.995,0.79332,1.01743,0.43109,0.87602,0.000511769,0.000511769,0.000511769
